test_acc,eval_acc,softmax_auroc_IN,softmax_fpr95_IN,softmax_aupr_IN,maha_auroc_IN,maha_fpr95_IN,maha_aupr_IN,cosine_auroc_IN,cosine_fpr95_IN,cosine_aupr_IN,energy_auroc_IN,energy_fpr95_IN,energy_aupr_IN,dataset,seed,is_ib
0.948380011,0.964449541,0.692698546,0.876106633,0.66691843,0.368210465,0.911539922,0.374032614,0.950941187,0.087880773,0.829228732,0.389952013,0.97907437,0.445399412,sst2,999,FALSE
0.961559583,0.963302752,0.904585904,0.589314854,0.869106264,0.698097514,0.864562697,0.648733635,0.937442696,0.133428517,0.824207664,0.634622431,0.930364559,0.534725757,sst2,888,FALSE
0.96265788,0.970183486,0.884702184,0.598001398,0.829514311,0.315513463,0.895187226,0.358621413,0.749390921,0.630882314,0.69523356,0.80771771,0.729583504,0.700077494,sst2,777,FALSE
0.965403624,0.969036697,0.90014133,0.559713871,0.87043333,0.846076111,0.549359294,0.710926618,0.958816066,0.07909531,0.840602364,0.983222357,0.069632633,0.967367726,sst2,666,FALSE
0.939044481,0.964449541,0.528672201,0.897057829,0.480965563,0.076063615,0.999881213,0.274834171,0.865202115,0.394943925,0.784298447,0.690805079,0.680322658,0.595827511,sst2,555,FALSE
0.968698517,0.971330275,0.72729274,0.81275359,0.592856966,0.961458222,0.065178306,0.859013271,0.963632566,0.067200553,0.860995001,0.653890089,0.911920879,0.53997656,sst2,999,TRUE
0.974739154,0.967889908,0.870800837,0.62780386,0.747922162,0.962730952,0.0364879,0.862015905,0.955129071,0.060555027,0.851998683,0.775655046,0.747036353,0.627676934,sst2,888,TRUE
0.970345964,0.96559633,0.894017091,0.500397307,0.774752087,0.922657132,0.402264705,0.826142648,0.95380854,0.09750548,0.852612272,0.893270355,0.569992035,0.774063596,sst2,777,TRUE
0.966501922,0.966743119,0.833686706,0.656980939,0.672911994,0.971656225,0.04274151,0.870077704,0.971742329,0.057179235,0.869003611,0.84589422,0.569736242,0.676201998,sst2,666,TRUE
0.970895113,0.966743119,0.826681738,0.668052753,0.688674703,0.952198108,0.07680518,0.851634144,0.953212128,0.078098764,0.850252409,0.839067714,0.54635427,0.670191011,sst2,555,TRUE
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
0.948380011,0.964449541,0.692698546,0.876106633,0.66691843,0.368210465,0.911539922,0.374032614,0.950941187,0.087880773,0.829228732,0.389952013,0.97907437,0.445399412,sst2,999,FALSE
0.961559583,0.963302752,0.904585904,0.589314854,0.869106264,0.698097514,0.864562697,0.648733635,0.937442696,0.133428517,0.824207664,0.634622431,0.930364559,0.534725757,sst2,888,FALSE
0.96265788,0.970183486,0.884702184,0.598001398,0.829514311,0.315513463,0.895187226,0.358621413,0.749390921,0.630882314,0.69523356,0.80771771,0.729583504,0.700077494,sst2,777,FALSE
0.965403624,0.969036697,0.90014133,0.559713871,0.87043333,0.846076111,0.549359294,0.710926618,0.958816066,0.07909531,0.840602364,0.983222357,0.069632633,0.967367726,sst2,666,FALSE
0.939044481,0.964449541,0.528672201,0.897057829,0.480965563,0.076063615,0.999881213,0.274834171,0.865202115,0.394943925,0.784298447,0.690805079,0.680322658,0.595827511,sst2,555,FALSE
0.955409116,0.966284404,0.782160033,0.704038917,0.74338758,0.460792234,0.84410607,0.47342969,0.892358597,0.265246168,0.794714153,0.701263918,0.677795545,0.64867958,#DIV/0!,777,#DIV/0!
,,,,,,,,,,,,,,,,
0.968698517,0.971330275,0.72729274,0.81275359,0.592856966,0.961458222,0.065178306,0.859013271,0.963632566,0.067200553,0.860995001,0.653890089,0.911920879,0.53997656,sst2,999,TRUE
0.974739154,0.967889908,0.870800837,0.62780386,0.747922162,0.962730952,0.0364879,0.862015905,0.955129071,0.060555027,0.851998683,0.775655046,0.747036353,0.627676934,sst2,888,TRUE
0.970345964,0.96559633,0.894017091,0.500397307,0.774752087,0.922657132,0.402264705,0.826142648,0.95380854,0.09750548,0.852612272,0.893270355,0.569992035,0.774063596,sst2,777,TRUE
0.966501922,0.966743119,0.833686706,0.656980939,0.672911994,0.971656225,0.04274151,0.870077704,0.971742329,0.057179235,0.869003611,0.84589422,0.569736242,0.676201998,sst2,666,TRUE
0.970895113,0.966743119,0.826681738,0.668052753,0.688674703,0.952198108,0.07680518,0.851634144,0.953212128,0.078098764,0.850252409,0.839067714,0.54635427,0.670191011,sst2,555,TRUE
0.970236134,0.96766055,0.830495823,0.65319769,0.695423582,0.954140128,0.12469552,0.853776734,0.959504927,0.072107812,0.856972395,0.801555485,0.669007956,0.65762202,#DIV/0!,777,#DIV/0!
